sentimen, Tweet
0,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a
0,askmf aku maba dan ada kating di kampus yang asli jepang dia ikut himpunan tapi seringnya sendirian mungkin ka
0,aku ke kampus untuk seminar hasil ketemu wong2 podo kabeh takok e kok kluyuran ae ben dikiro maba a
0,maksudnya tuh dosen pada ngeganti jam kosong ke jam pagi jadi masuk pagi terus aku
0,ada kunjungan dari kyunghee university dan dosennya tau nuest btw dosennya udah ahjumma eo kamu fansnya nuest
1,dosen2 macam bu lilis ini nih yg bikin aku tambah pengen jadi orang hukum
0,adoh aku nang kampus mlebu jam 1 tp meh bali tanggung
0,ada kunjungan dari kyunghee university dan dosennya tau nuest btw dosennya udah ahjumma eo kamu fansnya nuest
-1,aku ke kampus untuk menuntut ilmu ketemu wong2 podo gak takon yoweslah
0,kl dosen kl ngajar kamu langsung catet serapih ini atau coret2an dulu baru dirapihin wkwk
0,yang kaya gini kalo di kampus aku populernya luar biasa padahal
0,lihat video ayam kampus cantik pamer puting merah dan memek mulus cek bio aku say bugil bokephijab videobokep ngentot
-1,jangan ambil dosen itu dia nilainya bagus cuma kita nanti nggak usaha apa apa aku merasa nggak worth aja sih g
-1,peprus kampus aku gak seserem yg di jakarta amp bandung kaka legend kampus itu mah
0,y'all thisepanjang aku kuliahastra inggris enggak ada satu pun dosen native speaker yang kasih komentar ane
1,pagiii semangat aktivitasnya aku lagi otw ke ke kampuss sambil sarapan uwaa harini kelas dari pagi banget sampe sore
-1,sakitan mana sama ga di kasih kabar sama dosen
1,aku banget yaallah tiap di kampus ngeluarin binder lah ambil kotak pensil lah ngeluarin bolpoin ma
0,ada kunjungan dari kyunghee university dan dosennya tau nuest btw dosennya udah ahjumma eo kamu fansnya nuest
-1,tadi pulangnya dianterin cowok ya jujur aja gak usah boong aku liat kamu di warung deket kampus enak ya makan
0,krt kakakku ada tugas kuliah menganalisis lagu nah temennya milih lagu ini ditengah tengah presentasi dosen pengamp
0,kita tak ws dia sebab dia kata busy assignment online katanya tengok note kt ws rupanyan time aku tak ws tu dia menggatal de
1,posko peduli palu di gorontalo di kampus unu gorontalo posko ini juga sedang mengirim bantuan ke palu dan masih bisa mene
-1,dosen satu ini aku kalo telat bikin salah dikit diungkit2 mulu tapi kalo ada apa apa baru ke aku huft
0,kita tak ws dia sebab dia kata busy assignment online katanya tengok note kt ws rupanyan time aku tak ws tu dia menggatal de
0,tugas kuliah yg belum selese bang dan harus dikumpulin besok pagi
1,menuju kampus dengan perasaan yang riang dan gembira
-1,dosen penguji apa kaitan teori ini dengan variabel skripsi anda pak edy apa urusan anda menanyakan itu bukan hak a
0,kita akan membahas permasalahan 17 ujar dosen hukum islam whoooooaaaaaa untung kami kaum bar bar
0,nungguin gebetan di kampus tapi ngga dateng dateng nih biar ngga bosen aktifkan paket kampusku amp nikmati kuota besar
0,udah donk kamu juga udah kanemangat anak kampus
0,lagi dengerin dosen ngajar dikelas variabelnya berapa 3 kalo saya sih bisa dijadiin 2 dikurangin nama nama gap
0,bole dak kita duduk setempat kita discuss assignments kita maksud discuss aku tu kita discuss laa bukan main fon
1,Semoga Allah permudahkan urusan aku amp orang sekeliling aku yang tengah stress tak kisah pasal assignment ke kerja lain ke
-1,terpantau balas dendam goro sumpek ndek dosen sing sak penake dewe
-1,ih tolol ya ketakutan tantrum bocahnya dikampus sampe malem
-1,tapi meningkat banget hasilnya gimana kalau ditanyain? trus kamu pikir dosen cuma bakal lihat dan jadiin laporan evaluasi kita jadi bungkus gorengan? ya bakal ditanyain lah bambang bikin naik emosi pagi2.
-1,profesor begini saya resign dari kampus mendingan bikin malu almameter kesel
-1,aku dulu ada temen sekolah gayanya selangit sok kaya banget mana julid lagi suka berantem dan ngerasa punya kekuasaan eh ternyata minta keringanan biaya karena dia miskin trus temen kuliah dia orang kaya punya warnet minta keringanan dr kampus buat bayar sampe 3 semester
-1,jends ngasih info kadang suka banget dadakan deh kampus bikin keki
-1,mau balik kampus nemuin kajur badan malah lemes gaenak badan jadi takut mau ke kampus lagi moga aja ga kenapa aku
0,jadi tuh perumahan tempat tinggalku sering banget ada pengamen atau kadang suka ada yang nawarin barang gitu loh nah waktu itu dirumah cuma ada bapakku doang karena aku sama kakakku lagi ke kampus ibuku lagi ke warung sayur terus ada tukang ngamen kebetulan bapakku-
0,gua dah nyusun jadwal+dosen enak jdi pas di buka tinggal pilih kelas yg dah gua catet
