,DF
lengkap,63
kampus,334
banget,274
fasilitas,71
keren,64
pusing,43
duh,46
numpuk,41
tugas,441
kuliah,99
seru,137
kerja,51
minggu,121
dosen,231
cari,8
nilai,20
sulit,6
mahasiswa,24
asih,3
kalo,20
kanan,99
ajar,22
gue,20
santai,3
pdb,1
biar,10
gin,9
sayang,7
bagus,10
bisnis,8
anjyr,1
ekopembangunan,1
dengar,4
nomor,14
banding,2
kemarin,5
pasar,1
internasional,3
pariwisata,1
teman,27
bahas,5
muak,1
tau,1
ekonomi,4
batu,11
sawahlunto,1
psdku,1
sepi,106
anjing,5
ayam,12
buka,14
alam,9
organisasi,8
bicara,10
uang,4
usaha,3
rekrut,1
larang,2
giat,3
islam,19
promosi,2
pakai,9
universitas,36
katolik,2
orang,30
hehe,4
lembut,2
mulut,3
jual,4
penuh,7
makan,13
viscoff,1
belanja,3
kejut,2
hai,7
gas,1
cemberut,1
kasih,29
terima,37
sabar,24
ngejelasin,21
materi,22
lambat,5
kirim,13
oke,2
suka,5
bantu,63
super,47
kelas,79
enam,1
tuan,2
selesai,14
kaki,5
pergi,17
untung,6
milik,36
ku,16
sih,19
ruang,4
upaya,2
mhn,1
aman,10
diskriminasi,1
kelar,55
sembuh,58
yang,1
telepon,3
hormat,1
lampau,1
tumbuh,2
gila,7
perilaku,2
kontol,5
enak,7
diajakin,1
tesis,1
terharuu,1
omong,11
ah,35
subhanallah,1
leyeh2,1
suruh,3
ngobrolin,1
dosenny,1
malaikat,1
turun,6
perawan,1
rekam,3
ngentot,3
lantai,1
rusak,5
mahasiswi,3
bokep,2
video,3
unduh,1
padat,3
ya,34
tok,4
biodata,1
intinyaa,1
bosan,4
sore,2
jam,8
pablo,2
5,12
juli,4
polteka,1
2,19
mangunwijaya,1
15,1
lowong,1
tenggat,27
farmasi,2
isi,4
hadir,3
wanita,4
rohani,1
ayo,2
man,1
muslim,3
cinta,20
ribet,18
kali,22
periode,3
narkoba,1
cina,3
energi,1
ganti,5
presiden,7
asing,3
kurikulum,1
utang,9
salam,3
kiri,1
ii,1
bts,1
tangan,12
xd,1
dvd,1
biografi,1
jepang,4
cek,2
lihat,21
vidio,1
pamer,1
mulus,3
bugil,2
merah,2
cantik,4
memek,1
putih,3
zolim,2
dang,2
asli,7
inputnya,2
bgitulah,7
zaman,2
uts,5
90an,2
degdegan,5
bunuh,6
masuk,20
siang,2
alergi,1
kompetisi,2
bareng,2
jojo,2
layan,6
main,20
kuat,18
rss,1
muncul,2
alas,13
siswa,7
jatuh,12
jerawat,1
ampun,24
ngerjain,25
bentar,23
tuhan,4
hubung,1
studi,3
a,22
kanada,2
televisi,1
jenis,3
kawan,4
guru,10
gigi,2
hajar,1
motivasi,2
halaman,5
terjemah,1
keluh,4
semangat,2
habis,5
12,2
paham,32
kelompok,16
bahasa,37
lantan,2
covid,6
19,6
atur,3
langsung,12
situasi,10
tanggung,5
memberitahukan,1
kendali,1
gombak,4
inggris,28
gaji,3
rupiah,4
pikir,17
moga,9
timpang,1
hasil,7
juta,2
rencana,1
panggung,1
2021,6
peringkat,2
lembaga,9
indonesia,15
gambar,3
rilis,2
geprek,1
selatan,2
citra,1
hilang,6
akreditasi,1
dulunya,1
rapi,1
tunggu,7
kenya,1
pilih,9
gunung,2
pimpin,5
tarung,1
jalan,14
lapor,8
goreng,2
bambang,1
tingkat,1
ditanyain,1
jadi,2
bungkus,1
evaluasi,2
emosi,1
percaya,6
syukur,7
hukum,8
kenal,4
pulang,4
lumpur,2
tiru,2
roji,1
salju,1
salah,20
kritik,6
smt,5
tbtb,2
kangen,1
siluman,1
kucing,11
malu,3
tolong,9
abdulrahman,4
oposisi,5
gerak,8
buta,4
abdulrazaq,4
wajib,4
kritikus,4
sibuk,9
03,3
putra,9
luas,2
kolaborasi,1
tanggal,10
ppv,2
kapten,1
untuk2,1
vaksin,2
tahap,1
spesial,3
gorontalo,1
peduli,4
palu,1
posko,1
who,5
tinggal,14
utuh,1
antar,1
cowok,1
jujur,3
warung,4
duduk,5
cakrawala,1
bangkang,1
daftar,5
salah2,1
aktif,4
rusia,1
sambung,1
ntar2,1
unggah,1
rajin,1
diskusi,4
ken,5
20,3
induk,2
berkah,3
3porsi,2
jumat,4
kriteria,2
1,13
lajang,2
besok,4
bagibagi,2
dimsum,2
hahahha,1
aduh,1
kontroversi,1
film,3
bulat,1
ha,5
netflix,1
undang,3
sungguh,13
nyuruh,15
pipa,12
berani,20
bukti,2
jamban,2
rakyat,8
cerca,1
tuh,6
komite,4
sekian,3
melati,2
menteri,3
puncak,2
lari,4
wakil,7
perdana,1
miskin,2
raja,1
hidup,5
parah,2
ganggu,4
teror,1
simpan,2
tawar,2
fh,1
gar,1
aktivis,1
penggrebekan,1
tegang,1
teroris,2
kapolri,1
negara,19
laku,8
ipg,6
sabah,5
tulang,2
asrama,3
tertawa,4
bilang,4
taman,4
puasa,1
bukber,1
diam,6
rumah,14
kluyuran,1
seminar,1
ben,1
temu,11
injak,2
mineralogi,1
lapang,3
laboratorium,5
deh,2
tutup,8
sekolah,10
tamu,1
h,3
6tugas,1
resimen,1
setapak,1
kelelawar,1
susun,2
sinting,2
lengan,2
kemeja,2
karang,7
kontak,1
nadia,1
sksksk,1
putri,1
apedehal,1
b,8
bebas,6
pajak,1
bodoh,9
sahabat,3
nya,2
harga,7
pita,2
xxxd,1
ribu,3
menit,5
kacang,1
sayur,2
lumayan,3
beli,7
lindung,2
tumis,1
dadar,1
telur,1
ongkos,1
survei,4
aneh,2
bandung,2
cebong,1
dukung,4
bawa,4
kayak,13
teknologi,4
luhut,1
perahu,7
reklamasi,1
anak,22
murid,17
selangor,2
lahir,4
perhati,2
jamin,1
tambun,1
amerika,2
masyarakat,4
adikuasa,1
paksa,4
t,12
dagang,1
mimpi,3
sempurna,4
kuasa,2
kena,4
politik,6
pandang,1
dasar,6
ular,1
keras,2
pribadi,7
sederhana,1
pesan,3
dunia,5
kait,4
populasi,1
waspada,2
orientasi,2
indak,1
utama,4
batang,2
arti,3
garis,4
jernih,1
periksa,1
kerdil,1
pasal,4
cerita,3
tekan,5
allah,3
mudah,2
pohon,5
cemara,4
sosial,3
lulus,8
mikrofon,1
forum,2
media,4
mati,3
ancam,1
dihadang,1
aparat,1
4,7
3,7
kambing,2
nyebrang,1
eh,14
takut,12
histeris,1
tabrak,1
angka,3
nyerbu,1
badai,1
0,2
komputer,1
lu,2
50,2
kls,1
butuh,11
twitter,2
kagum,2
mari,2
program,3
makro,1
membedain,1
jokowi,1
digital,1
jokowidosen,1
calon,1
ymhnggx8nndalam,1
capres,1
mikro,1
kalifornia,1
salib,1
drama,1
korea,2
coklat,1
premi,2
ikan,6
banjir,1
keping,1
tokopedia,1
kod,2
coba,6
benda,8
biskuit,1
rm3,1
manis,1
daerah,4
kering,1
teratai,1
garing,1
leleh,1
kue,2
dijodohin,1
galak,2
markhyuck,1
45,2
pendek,1
isap,1
kedip,1
staf,2
keluarga,3
gaul,1
kanak,1
anggota2,1
laksana,2
kabel,2
ajaib,1
anggar,4
mes,3
jerat,1
cerdas,1
boros,2
s2,1
kejar,3
tetangga,1
tambak,2
rumput,2
belah,2
gairah,1
raya,2
mobil,2
ekspor,1
laut,1
biologi,2
kuala,4
zainal,2
memperkenalka,1
binti,1
sortir,3
buruk,3
nurhamimah,1
dokter,5
semester,8
nelson,1
pinang,3
pulau,4
lingkar,2
amin,4
baca,5
hantu,2
yasin,1
pahang,3
laki,5
air,2
madah,1
makhluk,1
sorg2,1
batas,2
tiber,1
kluster,2
izin,2
gendeng,1
gelar,1
lucu,2
palsu,1
bongkar,1
keburu,1
ilmu,5
ijin,2
harusnyakan,3
alumni,6
praktek,3
otoritas,3
langgan,4
hibur,2
utus,2
mega,2
april,2
alquran,2
sehat,7
tentara,3
budaya,6
sains,6
wira,2
polisi,5
malaysia,5
artis,3
uji,11
jadwal,4
tua,5
mei,3
singgung,4
protes,3
bora,1
teori,1
gelisah,1
koneksi,1
variabel,2
skripsi,6
hak,1
gagal,1
bahan,2
jiwa,2
sedih,5
cepat,7
tindak,1
juang,8
tunda,1
serah,6
tanda,2
tanggap,1
hotel,3
bab,3
doang,7
teliti,6
informanya,3
plus,4
data,4
jogja,2
revisi,7
nanyain,2
hubungin,3
siku,6
mode,8
erti,9
jakarta,2
legenda,1
rem,1
peprus,1
kakak,4
cetak,2
pos,2
hitam,2
lain2,1
pdpr,1
a4,1
ukur,3
kertas,8
fotostat,1
surat,3
syah,2
kwh,1
jilid,1
gua,4
11,4
tempo,9
tas,1
pekan,7
favorit,1
melaka,2
asosiasi,1
28,3
bangun,9
alamat,2
77300,1
nipis,1
jeruk,1
diploma,2
kelola,3
345,2
ab107,1
sumber,2
r,3
mqa,2
pahat,3
manusia,3
0042,2
2025,2
hangat,1
minum,1
udara,1
gojek,1
tilang,1
berangkat,1
selai,4
2jam,1
bus,1
burung,4
panas2,1
terik,1
macet,1
jalur,3
sen,1
3kali,1
10,3
macan,1
tj,1
pegang,1
44,2
dasco,2
asn,2
sufmi,2
