k,n (nilai k baru),Akurasi,Presisi,Recall,Skor F1
1,1.0,0.8377483443708609,0.8416542495582434,0.8377483443708609,0.8387651107289966
5,5.0,0.8973509933774835,0.9020709817802245,0.8973509933774835,0.8977164139622968
10,10.0,0.9470198675496688,0.9479050477687858,0.9470198675496688,0.9471816810312922
15,15.0,0.9602649006622517,0.9626214557749964,0.9602649006622517,0.9601652606115606
20,20.0,0.9172185430463576,0.9196098340295846,0.9172185430463576,0.9161459764166986
25,25.0,0.9039735099337748,0.9071169273047647,0.9039735099337748,0.9024168486778982
30,30.0,0.890728476821192,0.8949395478365066,0.890728476821192,0.8882614789899559
35,35.0,0.8774834437086093,0.8813250417272386,0.8774834437086093,0.8745761395195277
40,40.0,0.8576158940397351,0.8606286825897341,0.8576158940397351,0.8536925919622834
50,50.0,0.8443708609271523,0.8484578533652569,0.8443708609271523,0.8394119709450653
60,60.0,0.8278145695364238,0.8336950450809862,0.8278145695364238,0.8215665330434674
