sentimen, Tweet
['0'],"['nang', 'kampus', 'ngopi', 'ketemu', 'wong2', 'podo', 'kabeh', 'takok', 'lapo', 'mengubah', 'sosyeti']"
['0'],"['askmf', 'maba', 'kating', 'kampus', 'asli', 'jepang', 'himpunan', 'ka']"
['0'],"['kampus', 'seminar', 'hasil', 'ketemu', 'wong2', 'podo', 'kabeh', 'takok', 'kluyuran', 'ben', 'dikiro', 'maba']"
['0'],"['maksudnya', 'tuh', 'dosen', 'ngeganti', 'jam', 'kosong', 'jam', 'pagi', 'masuk', 'pagi']"
['0'],"['kunjungan', 'kyunghee', 'university', 'dosennya', 'tau', 'nuest', 'btw', 'dosennya', 'udah', 'ahjumma', 'eo', 'fansnya', 'nuest']"
['1'],"['dosen2', 'bu', 'lilis', 'nih', 'yg', 'bikin', 'pengen', 'orang', 'hukum']"
['0'],"['adoh', 'nang', 'kampus', 'mlebu', 'jam', '1', 'meh', 'bali', 'tanggung']"
['0'],"['kunjungan', 'kyunghee', 'university', 'dosennya', 'tau', 'nuest', 'btw', 'dosennya', 'udah', 'ahjumma', 'eo', 'fansnya', 'nuest']"
['-1'],"['kampus', 'menuntut', 'ilmu', 'ketemu', 'wong2', 'podo', 'gak', 'takon', 'yoweslah']"
['0'],"['kl', 'dosen', 'kl', 'ngajar', 'langsung', 'catet', 'serapih', 'coret2an', 'dirapihin', 'wkwk']"
['0'],"['kaya', 'gini', 'kalo', 'kampus', 'populernya']"
['0'],"['lihat', 'video', 'ayam', 'kampus', 'cantik', 'pamer', 'puting', 'merah', 'memek', 'mulus', 'cek', 'bio', 'bugil', 'bokephijab', 'videobokep', 'ngentot']"
['-1'],"['ambil', 'dosen', 'nilainya', 'bagus', 'nggak', 'usaha', 'nggak', 'worth', 'aja', 'sih']"
['-1'],"['peprus', 'kampus', 'gak', 'seserem', 'yg', 'jakarta', 'amp', 'bandung', 'kaka', 'legend', 'kampus', 'mah']"
['0'],"['thisepanjang', 'kuliahastra', 'inggris', 'dosen', 'native', 'speaker', 'kasih', 'komentar', 'ane']"
['1'],"['pagiii', 'semangat', 'aktivitasnya', 'otw', 'kampuss', 'sarapan', 'uwaa', 'harini', 'kelas', 'pagi', 'banget', 'sampe', 'sore']"
['-1'],"['sakitan', 'kasih', 'kabar', 'dosen']"
['1'],"['banget', 'yaallah', 'kampus', 'ngeluarin', 'binder', 'ambil', 'kotak', 'pensil', 'ngeluarin', 'bolpoin']"
['0'],"['kunjungan', 'kyunghee', 'university', 'dosennya', 'tau', 'nuest', 'btw', 'dosennya', 'udah', 'ahjumma', 'eo', 'fansnya', 'nuest']"
['-1'],"['pulangnya', 'dianterin', 'cowok', 'ya', 'jujur', 'aja', 'gak', 'boong', 'liat', 'warung', 'deket', 'kampus', 'enak', 'ya', 'makan']"
