sentimen, Tweet
['0'],"['nang', 'kampus', 'ngopi', 'ketemu', 'wong2', 'podo', 'kabeh', 'takok', 'lapo', 'ubah', 'sosyeti']"
['0'],"['askmf', 'maba', 'kating', 'kampus', 'asli', 'jepang', 'himpun', 'ka']"
['0'],"['kampus', 'seminar', 'hasil', 'ketemu', 'wong2', 'podo', 'kabeh', 'takok', 'kluyuran', 'ben', 'dikiro', 'maba']"
['0'],"['maksud', 'tuh', 'dosen', 'ngeganti', 'jam', 'kosong', 'jam', 'pagi', 'masuk', 'pagi']"
['0'],"['kunjung', 'kyunghee', 'univers', 'dosen', 'tau', 'nuest', 'btw', 'dosen', 'udah', 'ahjumma', 'eo', 'fansnya', 'nuest']"
['1'],"['dosen2', 'bu', 'lil', 'nih', 'yg', 'bikin', 'ken', 'orang', 'hukum']"
['0'],"['adoh', 'nang', 'kampus', 'mlebu', 'jam', '1', 'meh', 'bali', 'tanggung']"
['0'],"['kunjung', 'kyunghee', 'univers', 'dosen', 'tau', 'nuest', 'btw', 'dosen', 'udah', 'ahjumma', 'eo', 'fansnya', 'nuest']"
['-1'],"['kampus', 'tuntut', 'ilmu', 'ketemu', 'wong2', 'podo', 'gak', 'takon', 'yoweslah']"
['0'],"['kl', 'dosen', 'kl', 'ngajar', 'langsung', 'catet', 'serapih', 'coret2an', 'dirapihin', 'wkwk']"
['0'],"['kaya', 'gin', 'kalo', 'kampus', 'populer']"
['0'],"['lihat', 'video', 'ayam', 'kampus', 'cantik', 'pamer', 'puting', 'merah', 'memek', 'mulus', 'cek', 'bio', 'bugil', 'bokephijab', 'videobokep', 'ngentot']"
['-1'],"['ambil', 'dosen', 'nilai', 'bagus', 'nggak', 'usaha', 'nggak', 'worth', 'aja', 'sih']"
['-1'],"['peprus', 'kampus', 'gak', 'rem', 'yg', 'jakarta', 'amp', 'bandung', 'kaka', 'legend', 'kampus', 'mah']"
['0'],"['thisepanjang', 'kuliahastra', 'inggris', 'dosen', 'nativ', 'speaker', 'kasih', 'komentar', 'ane']"
['1'],"['pagiii', 'semangat', 'aktivitas', 'otw', 'kampuss', 'sarap', 'uwaa', 'harini', 'kelas', 'pagi', 'banget', 'sampe', 'sore']"
['-1'],"['sakit', 'kasih', 'kabar', 'dosen']"
['1'],"['banget', 'yaallah', 'kampus', 'ngeluarin', 'binder', 'ambil', 'kotak', 'pensil', 'ngeluarin', 'bolpoin']"
['0'],"['kunjung', 'kyunghee', 'univers', 'dosen', 'tau', 'nuest', 'btw', 'dosen', 'udah', 'ahjumma', 'eo', 'fansnya', 'nuest']"
['-1'],"['pulang', 'dianterin', 'cowok', 'ya', 'jujur', 'aja', 'gak', 'boong', 'liat', 'warung', 'deket', 'kampus', 'enak', 'ya', 'makan']"
['0'],"['krt', 'kakak', 'tugas', 'kuliah', 'analis', 'lagu', 'temennya', 'milih', 'lagu', 'tengah', 'presentasi', 'dosen', 'kamp']"
['0'],"['busi', 'assign', 'online', 'tengok', 'note', 'kt', 'rupanyan', 'time', 'tu', 'gatal']"
['1'],"['posko', 'peduli', 'palu', 'gorontalo', 'kampus', 'unu', 'gorontalo', 'posko', 'kirim', 'bantu', 'palu', 'mene']"
['-1'],"['dosen', 'kalo', 'telat', 'bikin', 'salah', 'dikit', 'diungkit2', 'mulu', 'kalo', 'huft']"
['0'],"['busi', 'assign', 'online', 'tengok', 'note', 'kt', 'rupanyan', 'time', 'tu', 'gatal']"
['0'],"['tugas', 'kuliah', 'yg', 'selese', 'bang', 'dikumpulin', 'besok', 'pagi']"
['1'],"['kampus', 'asa', 'riang', 'gembira']"
['-1'],"['dosen', 'uji', 'kait', 'teori', 'variabel', 'skripsi', 'edy', 'urus', 'hak']"
['0'],"['bahas', 'masalah', '17', 'dosen', 'hukum', 'islam', 'whoooooaaaaaa', 'untung', 'kaum', 'bar', 'bar']"
['0'],"['nungguin', 'gebetan', 'kampus', 'ngga', 'dateng', 'dateng', 'nih', 'biar', 'ngga', 'bosen', 'aktif', 'paket', 'kampus', 'amp', 'nikmat', 'kuota']"
['0'],"['udah', 'donk', 'udah', 'kanemangat', 'anak', 'kampus']"
['0'],"['dengerin', 'dosen', 'ngajar', 'kelas', 'variabel', '3', 'kalo', 'sih', 'dijadiin', '2', 'rangin', 'nama', 'nama', 'gap']"
['0'],"['bole', 'dak', 'duduk', 'discuss', 'assignments', 'maksud', 'discuss', 'tu', 'discuss', 'laa', 'main', 'fon']"
['1'],"['moga', 'allah', 'mudah', 'urus', 'amp', 'orang', 'keliling', 'stress', 'kisah', 'pasal', 'assign', 'kerja']"
['-1'],"['pantau', 'bala', 'dendam', 'goro', 'sumpek', 'ndek', 'dosen', 'sing', 'sak', 'penake', 'dewe']"
['-1'],"['ih', 'tolol', 'ya', 'takut', 'tantrum', 'bocah', 'kampus', 'sampe', 'malem']"
['-1'],"['tingkat', 'banget', 'hasil', 'gimana', 'ditanyain', 'trus', 'pikir', 'dosen', 'lihat', 'jadiin', 'lapor', 'evaluasi', 'bungkus', 'goreng', 'ya', 'ditanyain', 'bambang', 'bikin', 'emosi', 'pagi2']"
['-1'],"['profesor', 'resign', 'kampus', 'mending', 'bikin', 'malu', 'almameter', 'kesel']"
['-1'],"['temen', 'sekolah', 'gaya', 'langit', 'sok', 'kaya', 'banget', 'julid', 'suka', 'antem', 'ngerasa', 'kuasa', 'ringan', 'biaya', 'miskin', 'trus', 'temen', 'kuliah', 'orang', 'kaya', 'warnet', 'ringan', 'dr', 'kampus', 'bayar', 'sampe', '3', 'semest']"
['-1'],"['jends', 'ngasih', 'info', 'kadang', 'suka', 'banget', 'dada', 'deh', 'kampus', 'bikin', 'keki']"
['-1'],"['kampus', 'nemuin', 'kajur', 'badan', 'lemes', 'gaenak', 'badan', 'takut', 'kampus', 'moga', 'aja']"
['0'],"['tuh', 'rumah', 'tinggal', 'banget', 'amen', 'kadang', 'suka', 'nawarin', 'barang', 'gitu', 'loh', 'rumah', 'bapak', 'doang', 'kakak', 'kampus', 'ibu', 'warung', 'sayur', 'tukang', 'ngamen', 'bapakku-']"
['0'],"['gua', 'dah', 'nyusun', 'jadwal dosen', 'enak', 'jdi', 'pas', 'buka', 'tinggal', 'pilih', 'kelas', 'yg', 'dah', 'gua', 'catet']"
['0'],"['terima', 'kasih', 'dosen', 'makasih', 'orang', 'yg', 'suka', 'maaciw', 'temen', 'deket', 'mksh', 'orang', 'yg', 'ganggu', 'hidup', 'aing']"
['-1'],"['ya', 'orang', 'jumat', 'rumah', 'sakit', 'sore', 'nya', 'tiba2', 'jatoh', 'sedih', 'mulu', 'sampe', 'sabtu', 'pagi', 'udah', 'suruh', 'kampus', 'sampe', 'malem', 'alamat', 'masuk', 'rumah', 'sakit', 'mah']"
['-1'],"['jodoh', 'kampus', 'sedih', 'sih', 'gak', 'sedih', 'pas', 'gagal', 'kemaren', 'cepet', 'cepet', 'nyari', 'kampus', 'negeri', 'yg', 'buka', 'daftar']"
['-1'],"['kuota', 'kampus', 'ngga', 'turun', 'yak', 'sedih', 'duit', 'habis', 'beli', 'kuota', 'doang']"
['-1'],"['mimpi', 'ku', 'malem', 'sedih', 'gaje', 'sedih', 'karna', 'bestie', 'tinggal', 'gaje', 'karna', 'guru', 'mtk', 'tni', 'dosen']"
['-1'],"['5', 'triliun', '142', 'hektar', 'kampus', 'rujuk', 'islam', 'dunia', 'kelas', 'al-azhar', 'proyek', 'ponpes', 'madrasah', 'masjid', 'fasilitas', 'ummat', 'kl', 'yg', 'bilang', 'beliau']"
['-1'],"['ijazah', 'dadak', 'nyelip', 'tu', 'langsung', 'tiba2', 'bayang', 'juang', 'kampus', 'teliti', 'skripsi', 'el', 'el', 'emang', 'ya', 'kudu', 'gak', 'asa']"
['-1'],"['alumni', 'praktek', 'kampus', 'ijin', 'harusnyakan', 'ijin', 'krn', 'alumnus', 'pakai', 'fasilitas', 'negara', 'tuk', 'penting', 'tahu', 'otoritas', 'kampus']"
['1'],"['mah', 'kalo', 'sms', 'dosen', 'kudu', 'banget', 'mikirin', 'kata', 'biar', 'sopan', 'takut', 'salah', 'ngomong', 'pas', 'udah', 'lulus', 'mah', 'udah', 'kaya', 'temen', 'aja', 'sih', 'wkwkw', 'gimana', 'ketua', 'kelas']"
['1'],"['kayak', 'tudey', 'abis', 'dikabarin', 'telat', 'transfer', 'krn', 'sisi', 'lgi', 'byk', 'perlu', 'yaudah', 'bls', 'gapapa', 'bu', 'santai', 'aja', 'mashaallah', 'dah', 'malem', 'tbtb', 'rezeki', 'masuk', 'transfer', 'dosen']"
['1'],"['berangkat', 'pagi2', 'ngajar', 'ampe', 'jam', 'lgsg', 'cus', 'kampus', 'sen', 'gojek', '3kali', 'krn', 'jauh', 'dr', 'sekolah', 'halte', 'busway', 'trs', 'panas2', 'terik', 'macet', 'jln', 'lg', 'bnyk', 'tilang', 'alhamdulillah', 'dpt', 'duduk', '2jam', 'jalan', 'mac']"
['1'],"['dapet', 'tugas', 'kuliah', 'translat', '1-2', 'halaman', 'minggu', 'aja', 'udah', 'sambat', 'abis2', 'hajar', 'translat', 'berhalam', 'halaman', 'deadlin', '12', 'hours', 'bu', 'motivasi', 'semangat', 'hehe']"
['-1'],"['kali', 'pakai', 'fasilitas', 'laboratorium', 'kampus', 'bayar', 'kalo', 'uang', 'bayar', 'semster', 'doain', 'buruk', 'nih']"
['-1'],"['innalillahi', 'wainna', 'ilaihi', 'roji', 'undang', 'dasuki', 'salah', 'dosen', 'baik', 'pulang', 'semangat', 'tiru', 'kenal']"
['1'],"['dosenny', 'enak', 'diajakin', 'ngomong', 'terharuu', 'sih', 'ngobrolin', 'tesis', 'suruh', 'leyeh2', 'malaikat', 'turun', 'dosen', 'sih', 'subhnallah']"
['-1'],"['pancasila', 'diuangin', 'thr', 'dipaksain', 'didik', 'dijualin', 'otak', 'dikandangin', 'kampus', 'disatronin', '2', 'periode', 'dibatalin']"
['-1'],"['krn', 'save', 'kampus', 'alas', 'tuk', 'pelihara', 'laku', 'teror', 'negeri', 'kapolri', 'tawar', 'fh', 'fz', 'gar', 'penggrebekan', 'laku', 'teroris', 'rasa', 'tegang', 'aktivis']"
['-1'],"['citra', 'besar', 'kampus', 'akreditasi', 'ruang', 'rapi', 'dulunya', 'gak', 'dulunya', 'hilang']"
['-1'],"['maba', 'kampus', 'tau', 'kalo', 'kuliah', 'gak', 'kayak', 'film', 'film', 'sumringah', 'ntar', 'bulan', 'kuliah', 'langsung', 'kusut', 'muka']"
['-1'],"['organisasi', 'hambat', 'pulang', 'lambat', 'rumah', 'lantas', 'kabar', 'tugas', 'kuliah', 'yg', 'kenal', 'kesana', 'kesini', 'contoh', 'tugas', 'keluh', 'kambing', 'hitam', 'organisasi', 'yg', 'kuliah', 'enak', 'ftv']"
['1'],"['bias', 'dosen', 'lulus', 'univ', 'inspirasi', 'gak', 'ngetai', 'taiin', 'doang', 'panutanqu', 'kampus', 'ken', 'banget', 'kaya']"
['-1'],"['negeri', 'diri', 'akal', 'sehat', 'politik', 'orang', 'marah', 'akal', 'buntu', 'mari', 'turun', 'kampus', 'rawat', 'akal', 'sehat', 'sedekah', 'bangsa', 'nungguin', 'apbn']"
['-1'],"['skrg', 'gin', 'tanya', 'kah', 'yg', 'mahasiswa', 'umi', 'masuk', 'ruang', 'kuliah', 'tugas', 'kuliah', 'sprt', 'mhs', 'larang', 'guna', 'kuliah', 'kalo']"
['-1'],"['gimana', 'ngehadepin', 'dosen', 'dichat', 'ngeread', 'doang', 'responnya', 'banget', 'gue', 'gue', 'bingung', 'ngapain', 'takut', 'salah', 'langkah']"
['-1'],"['deket2', 'kenal', 'kampus', 'rame', 'grup', 'gue', 'gue', 'takut', 'denger', 'notif', 'grup', 'geter', 'masuk', 'pesan', 'tau', 'huhu']"
