sentimen, Tweet
['0'],"['aku', 'nang', 'kampus', 'untuk', 'ngopi', 'ketemu', 'wong2', 'podo', 'kabeh', 'takok', 'e', 'lapo', 'mengubah', 'sosyeti', 'a']"
['0'],"['askmf', 'aku', 'maba', 'dan', 'ada', 'kating', 'di', 'kampus', 'yang', 'asli', 'jepang', 'dia', 'ikut', 'himpunan', 'tapi', 'seringnya', 'sendirian', 'mungkin', 'ka']"
['0'],"['aku', 'ke', 'kampus', 'untuk', 'seminar', 'hasil', 'ketemu', 'wong2', 'podo', 'kabeh', 'takok', 'e', 'kok', 'kluyuran', 'ae', 'ben', 'dikiro', 'maba', 'a']"
['0'],"['maksudnya', 'tuh', 'dosen', 'pada', 'ngeganti', 'jam', 'kosong', 'ke', 'jam', 'pagi', 'jadi', 'masuk', 'pagi', 'terus', 'aku']"
['0'],"['ada', 'kunjungan', 'dari', 'kyunghee', 'university', 'dan', 'dosennya', 'tau', 'nuest', 'btw', 'dosennya', 'udah', 'ahjumma', 'eo', 'kamu', 'fansnya', 'nuest']"
['1'],"['dosen2', 'macam', 'bu', 'lilis', 'ini', 'nih', 'yg', 'bikin', 'aku', 'tambah', 'pengen', 'jadi', 'orang', 'hukum']"
['0'],"['adoh', 'aku', 'nang', 'kampus', 'mlebu', 'jam', '1', 'tp', 'meh', 'bali', 'tanggung']"
['0'],"['ada', 'kunjungan', 'dari', 'kyunghee', 'university', 'dan', 'dosennya', 'tau', 'nuest', 'btw', 'dosennya', 'udah', 'ahjumma', 'eo', 'kamu', 'fansnya', 'nuest']"
['-1'],"['aku', 'ke', 'kampus', 'untuk', 'menuntut', 'ilmu', 'ketemu', 'wong2', 'podo', 'gak', 'takon', 'yoweslah']"
['0'],"['kl', 'dosen', 'kl', 'ngajar', 'kamu', 'langsung', 'catet', 'serapih', 'ini', 'atau', 'coret2an', 'dulu', 'baru', 'dirapihin', 'wkwk']"
['0'],"['yang', 'kaya', 'gini', 'kalo', 'di', 'kampus', 'aku', 'populernya', 'luar', 'biasa', 'padahal']"
['0'],"['lihat', 'video', 'ayam', 'kampus', 'cantik', 'pamer', 'puting', 'merah', 'dan', 'memek', 'mulus', 'cek', 'bio', 'aku', 'say', 'bugil', 'bokephijab', 'videobokep', 'ngentot']"
['-1'],"['jangan', 'ambil', 'dosen', 'itu', 'dia', 'nilainya', 'bagus', 'cuma', 'kita', 'nanti', 'nggak', 'usaha', 'apa', 'apa', 'aku', 'merasa', 'nggak', 'worth', 'aja', 'sih', 'g']"
['-1'],"['peprus', 'kampus', 'aku', 'gak', 'seserem', 'yg', 'di', 'jakarta', 'amp', 'bandung', 'kaka', 'legend', 'kampus', 'itu', 'mah']"
['0'],"['y', 'all', 'thisepanjang', 'aku', 'kuliahastra', 'inggris', 'enggak', 'ada', 'satu', 'pun', 'dosen', 'native', 'speaker', 'yang', 'kasih', 'komentar', 'ane']"
['1'],"['pagiii', 'semangat', 'aktivitasnya', 'aku', 'lagi', 'otw', 'ke', 'ke', 'kampuss', 'sambil', 'sarapan', 'uwaa', 'harini', 'kelas', 'dari', 'pagi', 'banget', 'sampe', 'sore']"
['-1'],"['sakitan', 'mana', 'sama', 'ga', 'di', 'kasih', 'kabar', 'sama', 'dosen']"
['1'],"['aku', 'banget', 'yaallah', 'tiap', 'di', 'kampus', 'ngeluarin', 'binder', 'lah', 'ambil', 'kotak', 'pensil', 'lah', 'ngeluarin', 'bolpoin', 'ma']"
['0'],"['ada', 'kunjungan', 'dari', 'kyunghee', 'university', 'dan', 'dosennya', 'tau', 'nuest', 'btw', 'dosennya', 'udah', 'ahjumma', 'eo', 'kamu', 'fansnya', 'nuest']"
['-1'],"['tadi', 'pulangnya', 'dianterin', 'cowok', 'ya', 'jujur', 'aja', 'gak', 'usah', 'boong', 'aku', 'liat', 'kamu', 'di', 'warung', 'deket', 'kampus', 'enak', 'ya', 'makan']"
['0'],"['krt', 'kakakku', 'ada', 'tugas', 'kuliah', 'menganalisis', 'lagu', 'nah', 'temennya', 'milih', 'lagu', 'ini', 'ditengah', 'tengah', 'presentasi', 'dosen', 'pengamp']"
['0'],"['kita', 'tak', 'ws', 'dia', 'sebab', 'dia', 'kata', 'busy', 'assignment', 'online', 'katanya', 'tengok', 'note', 'kt', 'ws', 'rupanyan', 'time', 'aku', 'tak', 'ws', 'tu', 'dia', 'menggatal', 'de']"
